DataFieldName,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
cash,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
cashPercentOfCurrentAssets,2.0,2.063249601122734,2.079109118111434,2.2126658796638616,2.1912943110974323,2.200592984074764,2.16929517709943,2.299565573958255,2.203347645024397,2.483596329159006
receivables,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
receivablesPercentOfCurrentAssets,2.0,2.063249601122734,2.079109118111434,2.2126658796638616,2.1912943110974323,2.200592984074764,2.16929517709943,2.299565573958255,2.203347645024397,2.483596329159006
prepaidExpenses,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
prepaidExpensesPercentOfCurrentAssets,2.0,2.063249601122734,2.079109118111434,2.2126658796638616,2.1912943110974323,2.200592984074764,2.16929517709943,2.299565573958255,2.203347645024397,2.483596329159006
inventory,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
inventoryPercentOfCurrentAssets,2.0,2.063249601122734,2.079109118111434,2.2126658796638616,2.1912943110974323,2.200592984074764,2.16929517709943,2.299565573958255,2.203347645024397,2.483596329159006
currentAssets,32000000000.0,33011993617.963745,33265745889.782944,35402654074.62179,35060708977.55892,35209487745.19622,34708722833.59088,36793049183.33208,35253562320.39035,39737541266.5441
currentAssetsPercentOfTotaltAssets,3.2,3.3011993617963746,3.3265745889782945,3.540265407462179,3.506070897755892,3.5209487745196224,3.4708722833590886,3.679304918333208,3.525356232039035,3.9737541266544096
propertyPlantEquipment,24000000000.0,24758995213.47281,24949309417.337208,26551990555.96634,26295531733.16919,26407115808.897167,26031542125.19316,27594786887.499058,26440171740.292763,29803155949.908073
propertyPlantEquipmentPercentOfTotaltAssets,2.4,2.475899521347281,2.494930941733721,2.655199055596634,2.629553173316919,2.640711580889717,2.6031542125193163,2.759478688749906,2.6440171740292766,2.980315594990808
intangibleAssets,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
intangibleAssetsPercentOfTotaltAssets,0.8,0.8252998404490937,0.8316436472445736,0.8850663518655447,0.876517724438973,0.8802371936299056,0.8677180708397721,0.919826229583302,0.8813390580097588,0.9934385316636024
goodwill,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
goodwillPercentOfTotaltAssets,0.8,0.8252998404490937,0.8316436472445736,0.8850663518655447,0.876517724438973,0.8802371936299056,0.8677180708397721,0.919826229583302,0.8813390580097588,0.9934385316636024
longtermReceivables,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
longtermReceivablesPercentOfTotaltAssets,0.8,0.8252998404490937,0.8316436472445736,0.8850663518655447,0.876517724438973,0.8802371936299056,0.8677180708397721,0.919826229583302,0.8813390580097588,0.9934385316636024
totalAssets,80000000000.0,82529984044.90936,83164364724.45735,88506635186.55446,87651772443.8973,88023719362.99055,86771807083.9772,91982622958.33018,88133905800.97588,99343853166.36024
shorttermBorrowing,8000000000.0,8252998404.490936,8316436472.445736,8850663518.655447,8765177244.38973,8802371936.299055,8677180708.39772,9198262295.83302,8813390580.097588,9934385316.636024
