DataFieldName,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
cash,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
cashPercentOfCurrentAssets,1.0,1.092301383333582,1.201634905386723,1.2071326956755275,1.1471874561048834,1.2216470535160626,1.1768466540962386,1.2935587245680773,1.3412465151191137,1.2929699735274967
receivables,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
receivablesPercentOfCurrentAssets,1.0,1.092301383333582,1.201634905386723,1.2071326956755275,1.1471874561048834,1.2216470535160626,1.1768466540962386,1.2935587245680773,1.3412465151191137,1.2929699735274967
prepaidExpenses,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
prepaidExpensesPercentOfCurrentAssets,1.0,1.092301383333582,1.201634905386723,1.2071326956755275,1.1471874561048834,1.2216470535160626,1.1768466540962386,1.2935587245680773,1.3412465151191137,1.2929699735274967
inventory,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
inventoryPercentOfCurrentAssets,1.0,1.092301383333582,1.201634905386723,1.2071326956755275,1.1471874561048834,1.2216470535160626,1.1768466540962386,1.2935587245680773,1.3412465151191137,1.2929699735274967
currentAssets,16000000000.0,17476822133.33731,19226158486.187565,19314123130.808437,18354999297.67813,19546352856.257,18829546465.539818,20696939593.089237,21459944241.90582,20687519576.439945
currentAssetsPercentOfTotaltAssets,1.6,1.7476822133337313,1.922615848618757,1.9314123130808443,1.8354999297678136,1.9546352856257005,1.8829546465539821,2.069693959308924,2.145994424190582,2.068751957643995
propertyPlantEquipment,12000000000.0,13107616600.002983,14419618864.640675,14485592348.106329,13766249473.2586,14659764642.19275,14122159849.154863,15522704694.816927,16094958181.429363,15515639682.329958
propertyPlantEquipmentPercentOfTotaltAssets,1.2,1.3107616600002983,1.4419618864640675,1.4485592348106329,1.3766249473258598,1.465976464219275,1.4122159849154863,1.5522704694816927,1.6094958181429364,1.5515639682329958
intangibleAssets,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
intangibleAssetsPercentOfTotaltAssets,0.4,0.4369205533334328,0.48065396215468925,0.48285307827021107,0.4588749824419534,0.48865882140642514,0.47073866163849554,0.517423489827231,0.5364986060476455,0.5171879894109987
goodwill,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
goodwillPercentOfTotaltAssets,0.4,0.4369205533334328,0.48065396215468925,0.48285307827021107,0.4588749824419534,0.48865882140642514,0.47073866163849554,0.517423489827231,0.5364986060476455,0.5171879894109987
longtermReceivables,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
longtermReceivablesPercentOfTotaltAssets,0.4,0.4369205533334328,0.48065396215468925,0.48285307827021107,0.4588749824419534,0.48865882140642514,0.47073866163849554,0.517423489827231,0.5364986060476455,0.5171879894109987
totalAssets,40000000000.0,43692055333.34328,48065396215.46892,48285307827.021095,45887498244.19533,48865882140.642494,47073866163.84953,51742348982.723076,53649860604.764534,51718798941.09985
shorttermBorrowing,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
shorttermBorrowingPercentOfCurrentLiabilities,0.4,0.4369205533334328,0.48065396215468925,0.48285307827021107,0.4588749824419534,0.48865882140642514,0.47073866163849554,0.517423489827231,0.5364986060476455,0.5171879894109987
accountsPayable,6000000000.0,6553808300.001492,7209809432.320337,7242796174.0531645,6883124736.6293,7329882321.096375,7061079924.577432,7761352347.4084635,8047479090.714682,7757819841.164979
accountsPayablePercentOfCurrentLiabilities,2.0,2.184602766667164,2.403269810773446,2.414265391351055,2.2943749122097667,2.4432941070321252,2.353693308192477,2.5871174491361546,2.6824930302382275,2.5859399470549933
accuredExpenses,6000000000.0,6553808300.001492,7209809432.320337,7242796174.0531645,6883124736.6293,7329882321.096375,7061079924.577432,7761352347.4084635,8047479090.714682,7757819841.164979
accuredExpensesPercentOfCurrentLiabilities,2.0,2.184602766667164,2.403269810773446,2.414265391351055,2.2943749122097667,2.4432941070321252,2.353693308192477,2.5871174491361546,2.6824930302382275,2.5859399470549933
currentLiabilities,12000000000.0,13107616600.002983,14419618864.640675,14485592348.106329,13766249473.2586,14659764642.19275,14122159849.154863,15522704694.816927,16094958181.429363,15515639682.329958
currentLiabilitiesPercentOfTotalLiabilities,2.4,2.6215233200005965,2.883923772928135,2.8971184696212657,2.7532498946517197,2.93195292843855,2.8244319698309726,3.1045409389633853,3.218991636285873,3.1031279364659916
longtermDebt,4000000000.0,4369205533.334328,4806539621.546891,4828530782.702109,4588749824.419533,4886588214.06425,4707386616.384954,5174234898.272309,5364986060.476455,5171879894.109986
